Date Time Field[G] Current[A] Source Channel
05-07-2022 10-07-31 48.88 0.0752 "Power supplay" 2
05-07-2022 10-51-17 -202.72 -0.5792 "Power supplay" 1
05-07-2022 11-04-00 -600.565 -1.7159 "Power supplay" 1
05-07-2022 11-11-13 0.175 0.0005 "Power supplay" 1
05-07-2022 11-13-41 199.92 0.5712 "Power supplay" 1
05-07-2022 11-16-04 100.485 0.2871 "Power supplay" 1
05-07-2022 11-19-44 24.885 0.0711 "Power supplay" 1
05-07-2022 11-21-38 398.97 0.6138 "Power supplay" 2
05-07-2022 11-36-28 50.96 0.0784 "Power supplay" 2
05-07-2022 11-45-27 199.78 0.5708 "Power supplay" 1
05-07-2022 11-54-18 -1000.65 -2.859 "Power supplay" 1
05-07-2022 11-58-59 -200.655 -0.5733 "Power supplay" 1
05-07-2022 12-11-03 200.69 0.5734 "Power supplay" 1
05-07-2022 12-19-57 -0.63 -0.0018 "Power supplay" 1
06-07-2022 10-26-38 199.395 0.5697 "Power supplay" 1
06-07-2022 10-28-23 199.395 0.5697 "Power supplay" 1
06-07-2022 10-29-49 199.605 0.5703 "Power supplay" 1
06-07-2022 10-37-56 199.605 0.5703 "Power supplay" 1
06-07-2022 10-40-45 195.3 0.558 "Power supplay" 1
06-07-2022 10-47-19 199.71 0.5706 "Power supplay" 1
06-07-2022 10-50-08 194.81 0.5566 "Power supplay" 1
06-07-2022 10-53-00 190.085 0.5431 "Power supplay" 1
06-07-2022 10-55-50 184.8 0.528 "Power supplay" 1
06-07-2022 10-58-40 179.62 0.5132 "Power supplay" 1
06-07-2022 11-01-30 174.825 0.4995 "Power supplay" 1
06-07-2022 11-04-20 169.96 0.4856 "Power supplay" 1
06-07-2022 11-07-11 164.815 0.4709 "Power supplay" 1
06-07-2022 11-10-02 159.74 0.4564 "Power supplay" 1
06-07-2022 11-12-52 154.91 0.4426 "Power supplay" 1
06-07-2022 11-15-41 148.225 0.4235 "Power supplay" 1
06-07-2022 11-18-32 145.11 0.4146 "Power supplay" 1
06-07-2022 11-21-23 139.545 0.3987 "Power supplay" 1
06-07-2022 11-24-13 134.82 0.3852 "Power supplay" 1
06-07-2022 11-27-02 130.445 0.3727 "Power supplay" 1
06-07-2022 11-29-54 124.635 0.3561 "Power supplay" 1
06-07-2022 11-32-42 119.805 0.3423 "Power supplay" 1
06-07-2022 11-35-31 114.765 0.3279 "Power supplay" 1
06-07-2022 11-41-56 114.8 0.328 "Power supplay" 1
06-07-2022 11-44-48 103.25 0.295 "Power supplay" 1
06-07-2022 11-47-44 88.165 0.2519 "Power supplay" 1
06-07-2022 11-50-52 60.095 0.1717 "Power supplay" 1
06-07-2022 11-53-52 39.62 0.1132 "Power supplay" 1
06-07-2022 11-58-38 19.39 0.0554 "Power supplay" 1
06-07-2022 12-01-32 0.14 0.0004 "Power supplay" 1
06-07-2022 12-04-29 -20.685 -0.0591 "Power supplay" 1
06-07-2022 12-07-22 -40.005 -0.1143 "Power supplay" 1
06-07-2022 12-10-16 -58.975 -0.1685 "Power supplay" 1
06-07-2022 12-13-12 -74.165 -0.2119 "Power supplay" 1
06-07-2022 12-16-05 -89.215 -0.2549 "Power supplay" 1
06-07-2022 12-18-56 -95.305 -0.2723 "Power supplay" 1
06-07-2022 12-21-45 -99.995 -0.2857 "Power supplay" 1
06-07-2022 12-24-32 -106.855 -0.3053 "Power supplay" 1
06-07-2022 12-27-23 -109.445 -0.3127 "Power supplay" 1
06-07-2022 12-30-16 -115.185 -0.3291 "Power supplay" 1
06-07-2022 12-33-08 -120.575 -0.3445 "Power supplay" 1
06-07-2022 12-35-59 -125.755 -0.3593 "Power supplay" 1
06-07-2022 12-38-54 -150.185 -0.4291 "Power supplay" 1
06-07-2022 12-41-49 -176.4 -0.504 "Power supplay" 1
06-07-2022 12-44-41 -190.365 -0.5439 "Power supplay" 1
06-07-2022 12-47-34 -179.62 -0.5132 "Power supplay" 1
06-07-2022 12-50-25 -159.775 -0.4565 "Power supplay" 1
06-07-2022 12-53-15 -139.37 -0.3982 "Power supplay" 1
06-07-2022 12-56-06 -118.72 -0.3392 "Power supplay" 1
06-07-2022 12-59-00 -101.29 -0.2894 "Power supplay" 1
06-07-2022 13-01-55 -84 -0.24 "Power supplay" 1
06-07-2022 13-04-46 -64.225 -0.1835 "Power supplay" 1
06-07-2022 13-07-47 -37.03 -0.1058 "Power supplay" 1
